GW-Nummer,RECHTSWERT,HOCHWERT,Nitrat,huek_250_he,buek_200_bodtyp,clc5_2018,gk_1000,buek_1000_lba,humus_1000,hyraum_tr,preidl,thuenen,mundialis,swr1000,NDVI,DHM,stream_dist,PD
0012/572-1,534014.186503598,5285708.657593874,22.16,21.68469643099998,15.073246184536286,21.63422205031631,18.988739572118057,21.694208880033564,15.285560202880214,25.006545388084138,15.328333333333333,29.330417887020488,22.901349823966026,407.73993,7045,443,1081.6654,0.03098456
0012/602-0,538799.4839404833,5512694.490206034,17.72,30.360833333333332,16.14765832943913,21.63422205031631,14.35045426065163,15.718011907727398,18.13749049508475,21.457494500570313,23.774053949848756,21.52757275804285,22.901349823966026,285.0227,5583,146,200.0,0.055772208
0012/619-3,542066.8199032377,5317388.856028017,66.43333333333334,27.028360873457025,29.410839473109835,22.76233892256531,33.126414141414145,32.63532297979798,18.13749049508475,25.006545388084138,20.685096380783335,18.802605645916465,22.901349823966026,479.08215,7168,654,2906.8884,0.14252897
0012/657-2,551024.4037832054,5458655.247923809,10.16,17.379100752159104,18.888213067802138,21.502407697666317,26.321759822441305,20.20135929521678,18.13749049508475,26.197374767443005,20.685096380783335,21.52757275804285,22.901349823966026,368.1911,6879,221,100.0,0.055772208
0012/671-3,554322.924972562,5304467.144324005,22.430769230769236,22.58346409752967,21.2334404358268,21.63422205031631,18.988739572118057,21.694208880033564,15.285560202880214,25.006545388084138,23.522599454274093,21.52757275804285,22.901349823966026,470.28275,7669,588,1565.2476,0.049575295
0012/716-0,572165.5852399567,5361029.308288978,9.566666666666666,27.028360873457025,15.073246184536286,16.71525461062019,17.680982252638767,13.282781157334728,21.77232508866828,25.006545388084138,20.685096380783335,18.802605645916465,21.393505048413203,228.17102,4528,482,100.0,0.08055986
0012/812-3,595031.507559463,5395442.3945255885,12.766666666666666,19.288082997709864,24.285737193895233,16.44231857149574,16.47313463640167,24.673790514351843,18.13749049508475,17.92783849941305,13.700309330148832,18.802605645916465,14.885978639115322,403.14362,8315,579,2501.9993,0.03718147
0013/020-0,399945.3924999389,5315746.134192356,34.111111111111114,23.987910153631063,18.888213067802138,32.621982499584725,17.680982252638767,34.69610242666058,28.504426234576602,21.773645374910725,35.92117045881469,37.73789293495176,32.94428995206449,233.32343,6366,195,0.0,0.08055986
0013/263-2,461438.0262764613,5393591.374548144,2.088888888888889,6.797529761904762,5.001063443223443,22.338462401795734,8.04156339869281,15.718011907727398,18.13749049508475,7.989695210449927,13.700309330148832,18.802605645916465,14.885978639115322,877.22235,8387,661,200.0,0.03718147
0013/270-8,458352.266992186,5308419.182677399,11.05,28.320481359955053,15.073246184536286,21.63422205031631,24.86623683821948,18.3452777014652,18.13749049508475,26.197374767443005,30.757112899178118,18.802605645916465,22.901349823966026,456.92688,6493,700,0.0,0.03098456
0013/311-3,471913.858019673,5408663.369279885,6.866666666666666,13.775162812333866,16.14765832943913,11.493313819987776,14.35045426065163,15.718011907727398,18.13749049508475,7.989695210449927,13.700309330148832,18.802605645916465,14.885978639115322,576.4235,8373,471,984.8858,0.018590735
0013/316-7,467652.5558201821,5352197.869136056,30.08571428571428,27.62732463798636,24.285737193895233,16.44231857149574,27.25165679048167,21.109630221498378,28.504426234576602,26.197374767443005,13.700309330148832,18.802605645916465,14.885978639115322,484.93805,7953,554,894.4272,0.03098456
0013/361-1,478448.2713824998,5415209.687192146,14.375,17.379100752159104,18.464620908192337,16.71525461062019,26.321759822441305,34.4256938028436,21.77232508866828,26.197374767443005,20.685096380783335,18.802605645916465,21.393505048413203,353.44464,3661,254,0.0,0.09915059
0013/421-1,493088.7152879072,5299903.441623386,26.2,22.58346409752967,15.073246184536286,32.621982499584725,16.47313463640167,21.694208880033564,18.13749049508475,25.006545388084138,35.92117045881469,37.264613526570045,32.94428995206449,244.30841,7085,461,100.0,0.03718147
0013/467-2,508061.40971270535,5348759.347344504,15.45,17.379100752159104,24.94874282731511,16.71525461062019,16.47313463640167,24.673790514351843,18.13749049508475,17.92783849941305,20.685096380783335,18.802605645916465,21.393505048413203,486.47574,5130,735,1236.9316,0.049575295
0013/470-7,508441.9174873312,5315734.018064384,32.1,21.68469643099998,29.410839473109835,22.76233892256531,26.887007575757575,19.0296322496761,28.504426234576602,24.34838678910636,20.685096380783335,18.802605645916465,21.393505048413203,331.05133,4923,607,100.0,0.03098456
0013/566-4,531724.9092349358,5358508.4541365225,24.688888888888886,18.709126984126986,15.073246184536286,21.63422205031631,16.47313463640167,20.20135929521678,18.13749049508475,17.92783849941305,23.522599454274093,18.802605645916465,22.901349823966026,432.9218,7547,649,100.0,0.049575295
0013/653-7,552154.1190470958,5501887.867433798,40.5,27.62732463798636,35.211587174399675,32.621982499584725,26.955423668405174,27.842979005932968,28.504426234576602,26.197374767443005,23.522599454274093,44.766,32.94428995206449,235.88344,5929,316,2860.0698,0.024787648
