Nitrat;huek_250_he;buek_200_bodtyp;clc5_2018;gk_1000;humus_1000;hyraum_tr;Thuenen_2019;mundialis;NDVI
18.525;548;4;1;610;12;6202;888;20;4292
7.833333333;557;2;17;610;7;6202;888;10;8297
20.77272727;537;28;16;602;7;6203;888;20;8439
16.8;530;28;15;602;5;6301;888;20;6299
27.9;290;5;15;24;7;4101;10;20;8117
9.98;524;5;15;597;7;6301;555;20;6922
13.8;571;28;16;579;7;6402;888;10;8357
39.35555556;299;14;15;113;7;4104;10;60;7220
3.1;469;32;12;604;7;6203;888;50;4664
3.69375;559;3;17;659;7;6202;888;10;8369
16.3;467;14;2;444;12;6301;888;20;5577
6.88125;1065;2;17;654;7;6201;888;10;8514
18;469;32;3;607;12;6203;888;40;4528
19.1;559;32;11;615;7;6202;888;20;7694
41.64;537;28;15;602;5;6203;120;20;7527
2.26;573;17;15;579;7;6402;888;10;8034
19.14;290;5;1;223;5;4104;888;40;4571
31.9;321;14;12;29;8;4101;888;40;6425
35.165;517;2;16;597;5;6301;888;10;7884
10.63333333;321;14;16;98;5;4104;888;10;8634
43.48888889;544;34;3;607;5;6203;888;40;5352
18.2;324;5;3;24;12;6402;888;40;4690
18.26666667;299;5;15;514;7;4101;888;20;7328
13.82;505;17;12;579;7;6302;34;20;7475
26.9;544;17;12;602;7;6202;160;20;7647
14.45714286;290;14;16;98;8;4101;888;10;7629
10.875;557;32;15;612;7;6201;555;10;7489
52.07142857;469;32;15;24;5;6301;160;20;6734
44.65555556;548;15;12;94;5;6201;555;60;5620
20.4;571;28;15;579;7;6402;888;40;7924
41.2;568;28;15;514;7;6402;888;10;8319
21.475;290;5;12;98;8;4104;160;20;7045
22.2125;515;2;18;596;7;6301;888;10;8680
30.9;537;28;2;603;7;6203;888;20;6467
10.38888889;505;32;15;583;7;6302;555;20;7688
22.625;321;2;15;98;8;4104;10;20;8072
16.41428571;515;2;15;596;5;6301;555;20;7608
17.51428571;469;32;3;579;12;6402;888;40;2563
16.1;524;2;12;598;5;6301;91;40;6206
19.73333333;544;17;1;602;7;6203;888;40;4897
9.48;505;2;15;583;7;6402;10;20;7716
68.77857143;287;14;15;514;8;6402;10;10;6678
14.625;508;2;15;585;7;6302;10;10;6915
17.11428571;571;28;2;579;7;6402;888;20;8245
7.15;571;28;14;579;7;6402;888;20;8281
12.5;530;32;3;603;7;6203;888;20;6586
5.68;530;28;16;603;7;6203;888;10;8336
60.625;290;14;12;514;8;4101;10;20;6848
37.15333333;544;32;15;604;7;6203;160;20;6966
18.075;324;5;2;579;5;4104;888;20;5525
11.675;324;12;15;33;8;4104;888;10;8428
7.225;267;32;3;24;5;3101;888;40;4927
6.16;559;3;17;612;7;6202;888;10;8178
33.40625;286;17;15;514;7;6402;10;60;7309
14.05;524;14;15;598;7;6301;555;20;7221
11.21666667;559;2;2;615;7;6202;555;20;6723
18.36;548;32;2;610;7;6202;888;20;5514
27.64444444;286;17;15;514;5;6402;555;20;7106
11.9;469;32;3;24;5;6301;888;40;7427
15.4;469;32;14;607;5;6203;999;20;6914
19.12;321;14;3;24;12;4104;888;40;5150
17.71111111;267;17;16;24;7;3101;888;10;8452
0.5;263;32;4;24;5;3101;92;60;5642
13.62222222;537;28;18;610;7;6203;888;10;8005
0.5;469;32;3;579;7;6402;888;40;5137
14.26470588;515;2;17;596;7;6301;888;10;8729
50.85555556;321;14;16;33;5;4104;888;10;7577
31.3625;537;28;15;603;7;6203;888;20;6987
3.23;505;2;15;583;7;6402;888;10;8103
13.58888889;263;32;12;24;12;3101;888;20;6288
5.5875;559;3;17;834;8;6202;888;10;8262
59.32;537;28;16;602;7;6203;888;20;7694
11.95;521;34;15;594;7;6301;10;10;7208
39.25;469;14;3;607;12;6203;888;20;6430
34.51176471;544;32;17;602;7;6203;555;10;8191
9.766666667;469;32;11;579;12;6402;888;40;6410
10.59230769;505;17;2;583;7;6402;888;20;7417
19.46842105;469;32;15;603;5;6203;10;20;7163
25.47;469;32;15;585;7;6302;160;20;4937
11.61111111;303;17;15;579;7;6402;555;20;8491
18.42222222;495;5;15;579;7;6402;555;20;7776
57.325;568;28;16;579;7;6402;888;10;8216
20.0875;524;5;15;598;5;6301;10;20;6702
13.9;495;32;16;579;7;6402;888;20;8171
43.66;324;14;17;237;8;4104;888;10;7303
36.65;256;29;13;94;12;3103;110;20;7297
0.366666667;263;2;17;65;7;3101;888;20;7682
41;544;17;17;610;7;6203;888;20;7692
23.9375;1065;2;15;836;8;10102;91;10;8682
15.775;530;14;3;603;5;6203;888;40;4513
14.175;469;32;2;579;7;6402;888;20;4659
34.375;524;14;12;598;5;6301;888;10;6802
10.9625;469;32;15;607;7;6203;10;20;7377
8.083333333;515;2;17;596;7;6301;555;10;7847
12.7;469;17;2;585;12;6302;888;40;4826
45.76;544;17;15;610;7;6203;555;10;7443
13.725;573;32;11;579;7;6402;888;20;7705
19.2;537;32;15;604;7;6203;888;20;7845
18.58;321;5;3;24;5;4104;888;40;4585
47.62;524;14;14;598;5;6301;160;60;6960
52.376;321;14;12;113;5;4104;91;20;6466
26.62666667;544;32;15;607;7;6203;10;20;7269
7.4;290;17;18;98;8;4101;888;10;8492
23.51666667;321;2;1;223;3;4101;888;40;4798
3.5;530;34;16;598;7;6203;888;20;6376
26.68;569;15;1;579;12;6402;888;40;3987
49.425;530;28;16;602;5;6203;10;20;7462
26.88333333;537;28;17;602;7;6203;888;20;8185
13.3;513;2;17;585;5;6301;888;10;7236
56.26666667;505;2;12;583;7;6402;10;20;7063
24.03333333;524;32;3;598;12;6301;888;20;6202
5.8;573;17;15;579;7;6402;10;20;7443
46.34;548;4;15;610;7;6201;10;20;6478
19.88333333;469;32;3;583;12;6302;888;40;3634
63.87647059;521;34;12;597;5;6301;33;60;6607
18.78888889;495;28;16;579;7;6402;888;10;8596
24.21111111;495;32;15;579;8;6402;555;20;8170
31.40434783;544;32;15;607;7;6203;10;20;6604
14.15714286;495;28;16;579;7;6402;888;10;7592
68.25;576;2;12;583;5;6302;555;10;7531
62.6125;267;14;12;24;5;3101;999;40;5103
25.71111111;256;29;2;520;12;3103;888;20;6559
10.1;321;32;11;24;7;6203;888;20;6102
39.6875;263;5;18;65;5;3101;888;40;7184
11.1;537;17;18;610;7;6203;555;20;7832
26.175;469;32;3;607;12;6203;888;20;6800
33.68;521;32;3;94;5;6301;888;40;5892
39.75;321;14;3;24;5;4104;888;50;4956
22.28;544;15;3;607;7;6201;888;40;5477
1.74;576;34;15;583;7;6302;888;20;7743
15.76666667;530;46;16;603;7;6203;888;10;7900
19.5;495;28;3;579;7;6402;888;10;4881
1.671428571;569;28;10;579;12;6402;888;40;3772
45.35555556;483;17;2;526;12;3103;888;20;6730
5.3;267;32;16;24;5;3101;888;20;7372
44.1375;263;2;18;65;5;3101;160;20;6860
34.05;467;14;2;598;5;6203;888;40;5341
27.1;524;15;3;598;12;6301;888;40;3462
33.54;324;14;12;237;7;4104;888;40;6654
