GW-Nummer,GWL,x,y,eusr5000,aet,pdsi,pet,soil,srad,swe,NDVI,DHM
395,95.3029,459806.7071,5454401.128,120.7396,45.6033,-1.8053,64.4625,46.48,129.7367,2.0417,0.7261,101
396,164.493,405286.2926,5343594.161,120.7396,52.0667,-1.0979,63.9708,48.7892,133.9842,2.4333,0.6082,166
397,177.8549,408436.0188,5333742.06,133.5734,52.6775,-1.0456,64.5692,46.1392,134.335,2.475,0.7246,177
398,110.9818,451678.8866,5421851.073,133.5734,48.9675,-1.421,63.7225,47.6033,131.3767,2.7583,0.8636,121
399,101.2638,468516.2513,5456941.079,120.7396,46.3758,-1.848,64.4892,50.1192,129.06,2.1333,0.8334,116
400,144.4267,411515.8548,5367745.558,120.7396,50.1767,-1.4729,64.0742,49.11,132.9483,2.1583,0.5666,144
401,165.3504,406461.826,5343521.19,133.5734,52.0667,-1.0979,63.9708,48.7892,133.9842,2.4333,0.7485,167
402,179.002,406576.7462,5332605.512,133.5734,53.2542,-1.0148,65.0075,47.155,134.3842,2.6417,0.7306,177
403,231.815,411797.6957,5318867.897,133.5734,53.3517,-1.0932,66.6167,40.29,135.0025,1.675,0.6307,237
404,144.5048,420616.2177,5373411.303,133.5734,51.7025,-1.4128,63.8683,51.2642,132.2917,2.375,0.5948,147
405,146.7501,414884.5047,5365046.631,133.5734,50.6608,-1.4624,63.9675,49.3933,132.9342,2.2833,0.6433,146
406,103.4669,459600.7772,5442641.806,120.7396,45.6942,-1.7532,64.2733,46.6242,130.575,2.3167,0.8522,120
407,100.4698,453328.2506,5435153.793,120.7396,46.42,-1.7304,64.6675,44.895,130.7842,2.0917,0.7679,106
408,180.2818,407280.4638,5330391.385,133.5734,52.6617,-1.0931,64.8758,44.535,134.6133,2.4333,0.5778,182
409,134.3522,419306.7644,5383945.127,120.7396,49.9225,-1.5432,63.0958,50.4158,132.2708,2.325,0.8473,148
410,106.9638,458964.0201,5434935.868,133.5734,46.9067,-1.7398,63.7258,47.9508,130.8958,2.4917,0.8687,126
411,95.0705,471486.0933,5474168.224,92.1853,47.7242,-1.8643,64.9667,53.1475,127.2967,1.7833,0.5882,105
412,93.2035,466496.0829,5471446.326,92.1853,46.7,-1.8833,65.1333,49.5975,128.0192,1.625,0.4329,102
