x,y,Nitrat,huek_250_he,buek_200_bodtyp,clc5_2018,gk_1000,humus_1000,hyraum_tr,Thuenen_2019,mundialis,NDVI
524731.1616,5308147.527,38.11428571,286,14,12,98,5,4101,34,60,6668
524814.9141,5467051.854,28.0875,537,28,12,604,7,6203,555,10,7706
537511.7863,5449916.766,7.15,524,2,2,598,12,6301,888,20,5516
549419.5529,5450303.482,4.366666667,524,14,12,598,5,6301,888,50,3977
555832.3954,5441192.153,17.8,524,2,15,598,5,6301,10,20,6858
552226.5083,5324660.005,46.03,290,14,12,514,7,4104,41,60,7337
553346.337,5303150.664,0.825,321,14,12,98,8,4104,10,20,7289
550146.6133,5281610.064,19.6,321,14,15,113,8,4101,10,20,7835
568952.9763,5411420.112,14.2,515,5,2,596,5,6301,555,20,6082
574814.8238,5455431.408,1.84,524,5,2,598,5,6301,888,40,5426
590798.2103,5394989.69,10.125,568,28,2,579,7,6402,888,40,4403
603813.0059,5414212.859,62.06666667,480,14,12,512,5,6501,120,20,6661
460754.1269,5383683.797,2.68125,548,4,17,610,7,6202,888,10,8635
456791.8222,5361254.198,3.65,559,3,17,612,7,6202,888,10,8410
455372.3829,5357825.582,3.544444444,559,3,17,612,8,6202,888,10,8566
471737.8952,5404763.841,12.18,559,3,18,610,7,6202,888,10,8290
466787.8819,5379556.927,3.3125,548,4,15,610,7,6202,555,20,7667
469916.6,5342981.549,19.7,524,2,15,602,7,6301,888,20,7111
466382.0541,5313546.173,20.7125,487,34,15,585,7,6301,10,20,7277
481192.8513,5416763.501,17.2,548,32,10,610,12,6203,888,10,7232
477909.9869,5415689.58,50.65,544,22,4,607,12,6203,888,40,2933
485792.3283,5392687.653,8.06,537,17,15,602,7,6203,10,20,7650
478452.2636,5373719.292,36.14,537,28,2,602,7,6203,888,40,7123
482530.5951,5323399.287,29.8,576,17,3,583,5,6402,888,40,4824
503277.4658,5446781.125,33.1125,521,17,2,597,5,6301,888,20,4664
501983.8585,5339762.89,28.975,505,32,1,579,12,6402,888,40,3395
511520.1176,5299878.779,37.1125,286,14,17,514,8,4101,888,10,7167
524481.588,5307722.995,19.075,321,14,12,98,5,4101,10,20,7422
534210.3523,5497151.865,31,548,15,12,610,5,6201,10,20,6176
529798.8751,5454184.062,10.82,469,32,15,603,5,6203,60,20,7122
533903.331,5331904.234,0.44,321,32,15,24,5,4104,555,10,6817
