GW-Nummer,x,y,Nitrat,huek_250_he*,buek_200_bodtyp*,clc5_2018*,gk_1000*,humus_1000*,hyraum_tr*,Thuenen_2019*,mundialis*,NDVI
0,395548.146,5286737.955,9.74,573,14,16,579,5,3103,888,10,8769
1,419360.687,5343828.081,5.7,559,2,16,752,7,3103,888,10,8909
2,423138.1,5307441.485,4.3,1068,2,17,747,8,10101,888,10,8787
3,413740.8796,5301683.785,6.8,1068,2,17,807,8,10101,888,10,8276
4,425289.2339,5290863.88,3.942105263,1068,2,18,834,8,10101,888,10,8074
5,434800.6394,5279576.672,2.35,1068,4,17,747,8,10101,888,10,8260
6,441922.715,5372334.759,6.32,559,3,17,807,7,10101,888,10,8344
7,438796.3826,5319363.704,3.15625,1068,2,17,842,7,10101,555,20,6683
8,446145.0268,5277798.06,11.14,537,28,16,602,7,6203,888,10,8657
9,453713.034,5364862.758,2.5,559,3,17,612,7,6202,888,20,8331
10,456132.094,5317541.59,9.553846154,548,13,15,610,7,6202,555,10,7856
11,458311.2206,5315242.553,5.65,537,34,17,602,7,6203,888,10,8325
12,453113.3916,5283115.129,38.9875,537,28,15,602,7,6203,34,20,7773
13,474849.6599,5377214.881,10.82222222,544,17,17,602,7,6203,888,10,8442
14,474479.8095,5357470.763,28.59166667,469,32,15,602,7,6203,10,20,7820
15,468487.2168,5327787.535,25.55882353,530,28,18,598,7,6203,888,10,7740
16,463489.193,5310224.542,12.22222222,467,5,15,24,5,6301,888,20,7850
17,484385.9394,5388435.421,34.35263158,544,28,16,602,7,6203,10,20,7803
18,485358.4972,5379963.87,27.04,524,2,15,598,5,6301,10,20,7270
19,483371.2595,5318442.279,18.75,505,32,15,579,7,6402,888,40,6995
20,476775.863,5313418.275,3.625,505,17,17,579,7,6302,888,10,7866
21,492957.5412,5368411.471,33.3,530,28,16,602,7,6203,888,40,7199
22,491448.082,5359005.224,19.4,464,17,15,594,5,6301,888,40,6993
23,491777.9603,5328445.367,3.1,303,28,18,579,7,6402,888,10,8187
24,509287.1158,5475690.532,5.75625,557,2,18,610,7,6201,888,10,8469
